trichloroethylene,"1,1,2,2-tetrachloroethane",considerable research took place in the 1960s to develop alternative stabilizers for trichloroethylene.,"since the reactive instability is accentuated by higher temperatures, the search for stabilizing additives was conducted by heating trichloroethylene to its boiling point in a reflux condenser and observing decomposition.","however, 1,1,1-trichloroethane production has been phased out in most of the world under the terms of the montreal protocol, and as a result trichloroethylene has experienced some resurgence in use as a degreaser.","the u.s. environmental protection agency (epa) sponsored a ""state of the science"" review of the health effects associated with exposure to trichloroethylene.","in contrast, the most recent overall assessment of human health risks associated with trichloroethylene states, ""[t]here is concordance between animal and human studies, which supports the conclusion that trichloroethylene is a potential kidney carcinogen""."
2-butanol,2-butene,"2-butanol, or sec-butanol, is an organic compound with formula ch3ch(oh)ch2ch3.",2-butanol is chiral and thus can be obtained as either of two stereoisomers designated as (r)-(−)-2-butanol and (s)-(+)-2-butanol.,volatile esters of 2-butanol have pleasant aromas and are used in small amounts as perfumes or in artificial flavors.,considerable research took place in the 1960s to develop alternative stabilizers for trichloroethylene.,"the solubility of 2-butanol is incorrect in most sources, including some of the most well-known references such as the merck index, the crc handbook of chemistry and physics, and lange's handbook of chemistry."
ethylamine,ethanol,"ethylamine is used as a precursor chemical along with benzilnitrate (as opposed to o-chlorobenzonitrile and methylamine in ketamine synthesis) in the clandestine synthesis of cyclidine dissociative anesthetic agents (the analogue of ketamine which is missing the 2-chloro group on the phenyl ring, and its n-ethyl analog) which are closely related to the well known anesthetic agent ketamine and the recreational drug phencyclidine and have been detected on the black market, being marketed for use as a recreational hallucinogen and tranquilizer.","ethylamine undergoes the reactions anticipated for a primary alkyl amine, such as acylation and protonation.",ethylamine is a precursor to many herbicides including atrazine and simazine.,"h2c=ch2 + nh3 → ch3ch2nh2 hydrogenation of acetonitrile, acetamide, and nitroethane affords ethylamine.",ethylamine is an organic compound with the formula ch3ch2nh2.
propyl amine,1-propanol,ethylamine is an organic compound with the formula ch3ch2nh2.,"ethylamine undergoes the reactions anticipated for a primary alkyl amine, such as acylation and protonation.",ethylamine is a precursor to many herbicides including atrazine and simazine.,"ethylamine is used as a precursor chemical along with benzilnitrate (as opposed to o-chlorobenzonitrile and methylamine in ketamine synthesis) in the clandestine synthesis of cyclidine dissociative anesthetic agents (the analogue of ketamine which is missing the 2-chloro group on the phenyl ring, and its n-ethyl analog) which are closely related to the well known anesthetic agent ketamine and the recreational drug phencyclidine and have been detected on the black market, being marketed for use as a recreational hallucinogen and tranquilizer.","h2c=ch2 + nh3 → ch3ch2nh2 hydrogenation of acetonitrile, acetamide, and nitroethane affords ethylamine."
crotonaldehyde,acetaldehyde,"h2c=ch2 + nh3 → ch3ch2nh2 hydrogenation of acetonitrile, acetamide, and nitroethane affords ethylamine.",ethylamine is an organic compound with the formula ch3ch2nh2.,"ethylamine undergoes the reactions anticipated for a primary alkyl amine, such as acylation and protonation.",crotonaldehyde is a multifunctional molecule that exhibits diverse reactivity.,ethylamine is a precursor to many herbicides including atrazine and simazine.
methyl isobutyl ketone,acetone ,ethylamine is a precursor to many herbicides including atrazine and simazine.,methyl isobutyl ketone is also used as a denaturing agent for denatured alcohol.,  international chemical safety card 0511 national pollutant inventory - methyl isobutyl ketone fact sheet niosh pocket guide to chemical hazards,crotonaldehyde is a multifunctional molecule that exhibits diverse reactivity.,methyl isobutyl ketone (mibk) is the organic compound with the formula (ch3)2chch2c(o)ch3.
p-cresol,toluene,ethylamine is a precursor to many herbicides including atrazine and simazine.,p-cresol is a major component in pig odor.,methyl isobutyl ketone is also used as a denaturing agent for denatured alcohol.,"together with many other compounds, p-cresol is traditionally extracted from coal tar, the volatilized materials obtained in the roasting of coal to produce coke.","p-cresol is mainly consumed in the production of antioxidants, e.g., butylated hydroxytoluene (bht)."
sebacic acid,ricinoleic acid,"p-cresol is mainly consumed in the production of antioxidants, e.g., butylated hydroxytoluene (bht).",p-cresol is a major component in pig odor.,ethylamine is a precursor to many herbicides including atrazine and simazine.,sebacic acid is a naturally occurring dicarboxylic acid with the structure (hooc)(ch2)8(cooh).,"sebacic acid is also used as an intermediate for aromatics, antiseptics, and painting materials."
ethylenediamine tetraacetic acid,ethylenediamine,p-cresol is a major component in pig odor.,"p-cresol is mainly consumed in the production of antioxidants, e.g., butylated hydroxytoluene (bht).",sebacic acid is a naturally occurring dicarboxylic acid with the structure (hooc)(ch2)8(cooh).,"sebacic acid is also used as an intermediate for aromatics, antiseptics, and painting materials.",ethylamine is a precursor to many herbicides including atrazine and simazine.
sodium dichromate,chromite,sebacic acid is a naturally occurring dicarboxylic acid with the structure (hooc)(ch2)8(cooh).,"p-cresol is mainly consumed in the production of antioxidants, e.g., butylated hydroxytoluene (bht).",ethylamine is a precursor to many herbicides including atrazine and simazine.,"in terms of reactivity and appearance, sodium dichromate and potassium dichromate are very similar.","menthol to menthone; dihydrocholesterol to cholestanone: 3 r2choh + cr2o72− + 2 h+ → 3 r2c=o + cr2o3 + 4 h2o relative to the potassium salt, the main advantage of sodium dichromate is its greater solubility in water and polar solvents like acetic acid."
