name,num
abbott,1
abbreviated,5
abbreviation,1
ability,3
abiotic,1
able,4
abnormality,2
abovementioned,1
absence,1
absolute,2
absorbed,6
absorber,1
absorbing,4
absorption,2
abstract,6
abundance,2
abundant,3
accelerates,2
accelerator,2
accompanied,1
accomplished,1
accordance,8
according,21
accordingly,2
accumulate,2
acetic,5
acetyl,2
acetylation,2
ach,1
achieved,4
achieving,1
acid,52
acidic,10
acidification,2
acidified,1
acidity,3
acne,1
aconitic,1
acrosteolysis,1
acrylic,1
act,9
acta,1
action,4
activated,3
active,6
activity,8
acute,1
acyation,1
acylation,1
adapted,2
added,15
adding,5
addition,25
additional,2
additionally,2
additive,6
adduct,2
adeps,1
adequate,1
adhere,3
adhesive,1
adipic,4
adipis,1
adiponectin,1
adjunct,1
adjusted,1
adjuvant,1
administered,1
administration,5
admixed,1
adolphe,1
adopts,1
adsorbed,1
adult,1
adulterated,1
advanced,1
advantage,3
advantageous,3
advantageously,4
adverse,1
aeorbic,1
aerobic,3
aerosol,1
aerospace,1
affected,2
affecting,1
affords,2
africa,3
african,1
age,2
aged,1
agency,4
agent,20
agitating,1
agitation,1
agonist,1
agriculture,1
aid,4
air,17
alarm,2
alaska,1
alcoholism,1
aldehyde,2
alder,1
aldol,3
aldose,2
aleviates,2
algae,2
algicide,1
alginate,2
aliphatic,1
alkali,7
alkaline,6
alkene,2
alkoxide,1
alkyl,1
alkylated,1
alkylation,1
allergen,1
allergic,1
allergy,2
alleviate,1
allow,3
allowed,1
allowing,1
allows,1
alloy,1
allyl,5
almond,2
almost,2
alone,1
along,5
alongside,1
alpha,1
already,1
also,86
alter,1
altered,2
alternating,1
alternative,6
alternatively,5
alternifolia,1
although,14
always,2
amato,1
amber,1
america,4
american,5
amide,2
amidst,1
aminating,1
aminolysis,1
ammoniation,1
ammoxidation,2
ammunition,1
amoco,1
among,4
amongst,1
amorphous,1
amount,22
amounted,1
ampk,1
amplifies,1
anaerobic,2
anaesthetic,1
anal,1
analogue,2
analysis,6
analyzed,2
anchor,1
anderson,1
andrussow,1
anesthesiologist,1
anesthetic,1
anethole,2
angiogenesis,2
angiogenic,1
anhydride,6
anhydrite,1
anhydrous,7
animal,14
anion,3
annex,1
annually,2
anodic,1
another,7
ant,2
antagonist,1
anti,3
antibody,1
anticipated,1
anticoagulant,1
anticonvulsant,1
antidote,2
antiknock,1
antioxidant,4
antiseptic,1
antisludge,1
antithyroid,1
antler,1
antozonite,1
anxiolytic,1
apha,1
apollodorus,1
apoptosis,1
apparatus,4
appear,2
appearance,1
appeared,1
appearing,2
application,18
applied,6
applies,1
apply,1
appreciable,1
appropriate,2
approve,1
approved,1
approximate,1
approximately,12
