Products,Reactant,Sentence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
trichloroethylene,"1,1,2,2-tetrachloroethane","first, acetylene was treated with chlorine using a ferric chloride catalyst at 90 ??c to produce 1,1,2,2-tetrachloroethane according to the chemical equation
hc???ch + 2 cl2 ??? cl2chchcl2
the 1,1,2,2-tetrachloroethane is then dehydrochlorinated to give trichloroethylene.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2-butanol,2-butene,"== manufacture and applications ==
2-butanol is manufactured industrially by the hydration of 1-butene or 2-butene:

sulfuric acid is used as a catalyst for this conversion.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ethylamine,ethanol,"most commonly ethanol and ammonia are combined in the presence of an oxide catalyst:
ch3ch2oh + nh3 ??? ch3ch2nh2 + h2o
in this reaction, ethylamine is coproduced together with diethylamine and triethylamine.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
propyl amine,1-propanol,"== preparation ==
propyl amine hydrochloride can be prepared by reacting 1-propanol with ammonium chloride in water at high temperature and pressure using a lewis acid catalyst such as ferric chloride.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
crotonaldehyde,acetaldehyde,"== production and uses ==
crotonaldehyde is produced by the aldol condensation of acetaldehyde:
2 ch3cho ??? ch3ch=chcho + h2o
its main application is as a precursor to fine chemicals.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
methyl isobutyl ketone,acetone ,"== production ==
methyl isobutyl ketone is manufactured from acetone via a three-step process.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
p-cresol,toluene,"p-cresol is currently prepared industrially mainly by a two step route beginning with the sulfonation of toluene:
ch3c6h5 + h2so4 ??? ch3c6h4so3h + h2o
base hydrolysis of the sulfonate salt gives the sodium salt of the cresol:
ch3c6h4so3na + 2 naoh ??? ch3c6h4oh + na2so3 + h2o
other methods for the production of p-cresol include chlorination of toluene followed by hydrolysis.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sebacic acid,ricinoleic acid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ethylenediamine tetraacetic acid,ethylenediamine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sodium dichromate,chromite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
