name,num
ab,1
abbreviated,7
abbreviation,1
ability,3
abiotic,1
able,7
ably,1
abnormality,1
abovementioned,2
absence,1
absolute,1
absorbed,6
absorbing,3
absorption,2
abstract,7
abundance,2
abundant,4
accelerate,2
accelerates,2
accelerator,2
acceptable,1
accompanied,1
accomplished,2
accordance,8
according,25
accordingly,1
accounted,1
accumulate,2
acetic,6
acetoacetylation,1
acetyl,2
acetylation,3
ach,1
achieve,2
achieved,4
achieving,1
acid,58
acidic,17
acidification,2
acidified,1
acidity,3
acidulant,1
acne,1
aconitic,1
across,1
acrosteolysis,1
acrylic,1
act,8
acta,2
action,7
activated,6
activates,1
active,8
activity,8
acute,2
acyation,1
acylation,1
adapted,2
add,2
added,15
adding,10
addition,22
additional,3
additionally,2
additive,7
adduct,2
adeps,1
adequate,1
adhere,3
adhesive,2
adipic,4
adipis,1
adiponectin,1
adjunct,1
adjust,1
adjusted,2
adjuvant,1
administered,2
administration,4
admixed,1
adopts,1
adsorbed,1
adsorption,1
adult,1
adulterant,1
adulterated,1
advanced,1
advantage,3
advantageous,5
advantageously,5
adverse,2
aeorbic,1
aerobic,3
aerospace,1
affect,1
affected,2
affecting,1
affords,2
africa,3
african,1
age,2
aged,2
agency,5
agent,20
agglutinate,1
agitating,1
agitation,1
agonist,1
agriculture,2
aid,5
air,17
airframe,1
alarm,2
alaska,1
alba,1
alcoholism,1
aldehyde,1
alder,2
aldol,4
aldose,2
alertness,1
aleviates,2
algae,2
algicide,1
alginate,4
aliphatic,1
alkali,8
alkaline,8
alkene,2
alkoxide,1
alkyl,1
alkylated,1
alkylation,1
allergic,2
allergy,2
alleviate,2
allow,3
allowed,2
allowing,2
allows,3
allowscheme,1
alloy,2
allyl,5
almond,2
almost,4
alone,1
along,6
alongside,1
alpha,1
already,1
also,110
alter,1
altered,1
alternating,1
alternative,9
alternatively,3
alternifolia,1
although,19
always,3
amato,1
america,3
american,5
amide,1
amidst,1
aminating,1
ammoniation,1
ammoxidation,2
ammunition,1
amoco,1
among,6
amongst,1
amorphous,1
amount,25
amounted,1
ampk,1
amplifies,1
anaerobic,3
anaesthetic,1
anal,1
analogous,1
analogue,2
analysis,9
analytes,1
analyze,1
analyzed,2
anchor,1
ancient,1
anderson,1
andrussow,2
anesthesiologist,1
anesthetic,4
anethole,3
angiogenesis,2
angiogenic,1
anhydride,8
anhydrous,6
animal,15
anion,5
anise,1
annex,1
annually,1
annum,1
anodic,1
anodizing,1
another,10
ant,3
anthraquinones,1
anti,3
antibiotic,1
antibody,1
anticipated,1
anticoagulant,1
anticonvulsant,1
antidote,2
antifungal,1
antiknock,1
antimicrobial,1
antioxidant,3
antiseptic,1
antisludge,1
antithyroid,1
antler,1
antozonite,1
anxiolytic,1
apha,1
apollo,1
apollodorus,1
apoptosis,1
apparatus,2
apparent,1
appear,2
appearance,2
appeared,1
appearing,2
application,25
applied,6
applies,1
apply,1
appreciable,2
approach,1
appropriate,2
approve,1
approved,1
approx,1
approximate,1
approximately,10
apricot,2
aprotic,1
aqua,1
aquatic,2
aqueous,36
arc,1
arcanite,1
archaic,1
archive,1
arcos,1
area,3
argon,6
arise,1
arises,1
armenian,1
aroma,3
aromatherapy,1
aromatic,11
aromatics,2
around,10
arrhythmia,1
arsenian,1
arsenic,1
arsenical,1
art,2
artefact,1
artery,2
arthur,1
article,4
artificial,5
artillery,1
aryl,1
asahi,1
ash,1
asparagus,1
aspen,1
aspergillus,1
asphyxiant,1
assemble,1
assessment,4
associated,9
association,3
asteraceae,1
asthma,2
astronomer,2
athena,1
athenian,1
athens,1
atm,1
atmosphere,3
atmospheric,2
atom,7
atomic,2
atp,1
attached,1
attack,2
attain,1
attempt,5
attention,2
attractant,1
attracted,1
attractive,1
auguste,1
australia,2
author,1
authority,1
authorized,1
autoclave,1
autoclaving,1
autoxidation,1
auxigro,1
availability,1
available,8
average,4
avoid,1
avoided,1
avoiding,1
azeotrope,3
bacillus,1
back,3
background,4
bacteria,5
bacterial,4
bacteriostatic,1
baker,1
baking,5
balance,2
balm,1
balochistan,1
balsam,1
ban,1
banana,1
band,2
